Unnamed: 0,云途全球精选专线挂号（特惠带电）,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
返回目录,国家/地区,参考时效,分区,重量(KG),进位制(KG),最低计费重(KG),运费(RMB/KG),挂号费(RMB/票),
运输代码:TDZXR,瑞典,6-10工作日,,0＜W≤0.3,,,59,18,
生效日期,瑞典,6-10工作日,,0.3＜W≤2,,,61,23,
2025-06-09 09:00,瑞典,6-10工作日,,2＜W≤20,,,61,23,
尺寸表,英国,6-10工作日,,0＜W≤0.3,,,50,18,
欧洲国家对应税率表,英国,6-10工作日,,0.3＜W≤0.5,,,52,18,
禁运品清单,英国,6-10工作日,,0.5＜W≤1,,,52,18,
产品品牌表,英国,6-10工作日,,1＜W≤20,,,54,18,
申报价值注意事项,以色列,6-10工作日,,0＜W≤15,,,100,48,
异形件示例图,以色列,6-10工作日,,15＜W≤30,,,100,155,
知识产权网,德国,6-10工作日,,0＜W≤2,,,57,23,
不可到地区清单,德国,6-10工作日,,2＜W≤30,,,54,23,
,法国,6-10工作日,,0＜W≤0.25,,,76,23,
,法国,6-10工作日,,0.25＜W≤0.5,,,76,23,
,法国,6-10工作日,,0.5＜W≤30,,,74,23,
,荷兰,6-10工作日,,0＜W≤2,,,78,25,
,荷兰,6-10工作日,,2＜W≤20,,,68,25,
,西班牙,6-10工作日,,0＜W≤2,,,59,20,
,西班牙,6-10工作日,,2＜W≤30,,,62,21,
,加拿大,8-15工作日,,0＜W≤0.15,,0.05,88,23,
,加拿大,8-15工作日,,0.15＜W≤0.3,,0.05,88,23,
,加拿大,8-15工作日,,0.3＜W≤0.45,,0.05,88,23,
,加拿大,8-15工作日,,0.45＜W≤0.75,,0.05,88,25,
,加拿大,8-15工作日,,0.75＜W≤1,,0.05,88,25,
,加拿大,8-15工作日,,1＜W≤1.5,,0.05,91,25,
,加拿大,8-15工作日,,1.5＜W≤2,,0.05,91,25,
,加拿大,8-15工作日,,2＜W≤30,,0.05,95,30,
