Unnamed: 0,云途轻小件专线挂号（特惠带电）,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
返回目录,国家/地区,参考时效,分区,重量(KG),进位制(KG),最低计费重(KG),运费(RMB/KG),挂号费(RMB/票),
运输代码:YTLSPC,澳大利亚,5-15工作日（偏远邮编除外）,1区,0＜W≤0.3,,,42,19,
生效日期,澳大利亚,5-15工作日（偏远邮编除外）,1区,0.3＜W≤0.5,,,42,20,
2025-05-12 09:00,澳大利亚,5-15工作日（偏远邮编除外）,1区,0.5＜W≤1,,,42,20,
,澳大利亚,5-15工作日（偏远邮编除外）,1区,1＜W≤2,,,42,21,
,澳大利亚,5-15工作日（偏远邮编除外）,2区,0＜W≤0.3,,,52,21,
,澳大利亚,5-15工作日（偏远邮编除外）,2区,0.3＜W≤0.5,,,52,20,
,澳大利亚,5-15工作日（偏远邮编除外）,2区,0.5＜W≤1,,,52,23,
,澳大利亚,5-15工作日（偏远邮编除外）,2区,1＜W≤2,,,52,25,
,澳大利亚,5-15工作日（偏远邮编除外）,3区,0＜W≤0.3,,,78,19,
,澳大利亚,5-15工作日（偏远邮编除外）,3区,0.3＜W≤0.5,,,78,19,
,澳大利亚,5-15工作日（偏远邮编除外）,3区,0.5＜W≤1,,,78,19,
,澳大利亚,5-15工作日（偏远邮编除外）,3区,1＜W≤2,,,78,19,
,,,,,,,,,
,,,,,,,,,
,国家/地区,参考时效,分区,重量(KG),进位制(KG),最低计费重(KG),首重,续重,
,日本,4-5工作日（北海道冲绳5-8工作日）,,0＜W≤1,0.1,0.1,14,2,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,备注说明：,,,,,,,,
,一、计费重量,,,,,,,,
,1.日本：100g起重，包裹按实际重量计费，不计材积,,,,,,,,
,2.澳大利亚：体积重低于实际重量2倍的，按照实际重量收费；达到或超过实际重量2倍的，按照体积重量收取。(体积重=长*宽*高/8000),,,,,,,,
,二、是否包油,,,,,,,,
,以上为含油价格,,,,,,,,
,三、服务国家,,,,,,,,
,1.日本：全境可达,,,,,,,,
,2.澳大利亚：不可达邮编为无实际地址邮编，其他全境可达,,,,,,,,
,四、申报价值和注意事项,,,,,,,,
,"1.日本：1)不接受申报价值超过70USD（10000日元）的产品,发往日本单个包裹产品数量不能超过10个，否则可能会被海关判断为商业件导致清关异常（瞒报被查客户承担税金）包裹到达目的地内7天未放行的包裹将开始计算仓租，如因查验产生仓租，云途保留对发件人收取仓储费权利，实报实销且不一定都能提供凭证。",,,,,,,,
,2)2024年5月1日起，产生关税的包裹将相应收取关税，关税金额实报实销。即使没有相关轨迹，只要产生了关税，将进行收取。,,,,,,,,
,3)仅接受个人使用为目的的包裹，收件人地址不接受商用设施地址（如公司、仓库、餐厅、酒店等）。因收件人地址被海关认定为商业地址且造成的任何损失，由客户自行承担。,,,,,,,,
,"4)收件人姓名必须为全名，不能为缩写或仅有姓或名，否则将影响通关导致不必要的时效延误。（例如收件人姓名必须为：""山本太郎""，不能仅填写""山本""）",,,,,,,,
,5)由于清关资料不足等导致无法清关的情况，需在14天内补齐相关清关资料，否则默认销毁；,,,,,,,,
,2.澳大利亚：货件品名和申报价值需如实申报，不接受模糊品名申报；不接受申报价值超过135美金，且不接受同一个收件人名且同一地址，当天累计包裹申报价值超过135美金（瞒报被查客户承担税金和增值税）。不接受色情书籍、影像、电脑游戏或者其他性用品，尤其注意不接受涉及或有争议涉及儿童的色情产品。,,,,,,,,
,五、走货属性,,,,,,,,
,1.所有国家均不接受任何带品牌产品，不接受涉及标志专有权包裹，任何外观设计、品牌、Logo、含有国际动漫卡通人物图案等的侵权产品一律不接。如球队俱乐部、协会等图案标志及文字的商品。,,,,,,,,
,是否是品牌可参考知识产权海关备案网，其备案并授权信息请咨询我司客服或业务经理。但最终实际以当地海关认定结果为准。详见知识产品网清单,,,,,,知识产权网,,
,2.所有国家均不接受纯电、液体粉末枪支弹药等违禁品,,,,,,,,
,3. 日本：,,,,,,,,
,1.禁运物品：,,,,,,,,
,1)涉及他法令物品、纯电，液体、食品类等属性包裹、真皮材质类、毛材质织物、仿牌和侵权商品、二手物品、婴幼儿玩具、添加石棉的商品、防弹衣等本身具有特殊功能商品。详情请日本线路禁运品清单。,,,,,,,,日本线路禁运品清单
,2)不接受纯电、干电池、液体粉末枪支弹药等违禁品。,,,,,,,,
,2. 可接收物品：,,,,,,,,
,1)可接受内置电池、配套电池（功率不超过100W·H),,,,,,,,
,2)可接受普货、服装、纺织品类物品可发，但需注意：,,,,,,,,
