Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
返回目录,云途全球专线挂号(特惠带电),,,,,,,,云途全球专线挂号(特惠带电),,,,,,,,,云途全球专线挂号(特惠带电),,,,,
云途全球专线挂号(特惠带电),萨尔瓦多,,,,,,,,哥斯达黎加,,,,,,,,,阿根廷税率参考表,,,,,
,中文品名,"Description
英文品名","HS CODE /
海关编码","SV HS CODE
萨尔瓦多海关编码","Import duty Rate
关税税率","VAT RATE
增值税税率","Other Tax
其他税",,中文品名,Description/英文品名,"通用
HS CODE",哥斯达黎加HSCODE,关税,选择性消费税,LEY 6946税,增值税,,中文品名,英文品名,HS CODE,关税税率,增值税税率,Stastics税率
,植物粉末,Plant powder,1211909090,21069079000,0.1,0.13,,,干花,Dried Flowers,6702901000,060319990090,0.14,0,0.01,0.13,,灯具,Lamps and lanterns,9405.39.00,18.00,0.21,0.03
,粉补,Powder Patch,9616200000,21069099003,0.15,0.13,,,植物粉末,Plant powder,1211909090,210690790010,0.09,0,0.01,0.13,,艾条,Moxa stick,3005.90.90,10.80,0.21,0.03
,配制的动物饲料,Prepared animal feed,2309100099,23099020000,0.15,0.13,MAG010 MAG033,,粉补,Powder Patch,9616200000,210690990039,0.14,0,0.01,0.13,,固体胶,glue stick,3506.10.10,16.00,0.21,0.03
,彩泥,Colored mud,3926409000,25059000000,0,0.13,,,配制的动物饲料,Prepared animal feed,2309100099,230990200099,0.14,0,0.01,0.13,,胶水,Glue,3506.10.10,16.00,0.21,0.03
,彩沙,Colored sand,3926409000,25059000000,0,0.13,,,彩泥,Colored mud,3926409000,250590000000,0,0,0.01,0.13,,粘合剂,binder,3506.10.90,16.00,0.21,0.03
,沙子,Sand,3926409000,25059000000,0,0.13,,,彩沙,Colored sand,3926409000,250590000000,0,0,0.01,0.13,,按摩器,Massager,9019.10.00,12.60,0.21,0
,玻璃砂,Glass sand,6805300000,25059000000,0,0.13,,,沙子,Sand,3926409000,250590000000,0,0,0.01,0.13,,拔罐器,glass Cupping,9019.10.00,12.60,0.21,0
,猫砂,cat litter,3824990090,25059000000,0,0.13,,,玻璃砂,Glass sand,6805300000,250590000000,0,0,0.01,0.13,,健慰器,massage device,9019.10.00,12.60,0.21,0
