Unnamed: 0,华南快速小包挂号(DG),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
返回目录,国家/地区,参考时效,分区,重量(KG),进位制(KG),最低计费重(KG),运费(RMB/KG),挂号费(RMB/票),备注列
运输代码:CNDWR,波兰,9-30工作日,PL,0＜W≤2,,0.006,90.64,27.81,
生效日期,立陶宛,9-30工作日,LT,0＜W≤2,,0.006,158.62,18.54,
2025-05-26 09:00,芬兰,9-30工作日,FI,0＜W≤2,,0.006,83.43,37.08,
,荷兰,9-30工作日,NL,0＜W≤2,,0.006,95.79,32.96,
,加拿大,9-30工作日,CA,0＜W≤2,,0.006,112.27,29.87,不可达
,葡萄牙,9-30工作日,PT,0＜W≤2,,0.006,85.49,30.9,
,瑞典,9-30工作日,SE,0＜W≤2,,0.006,82.4,35.02,
,瑞士,9-30工作日,CH,0＜W≤2,,0.006,91.67,35.02,
,西班牙,9-30工作日,ES,0＜W≤2,,0.006,81.37,29.87,
,奥地利,9-30工作日,AT,0＜W≤2,,0.006,117.42,29.87,
,比利时,9-30工作日,BE,0＜W≤2,,0.006,94.76,33.99,
,巴西,7-25工作日,BR,0＜W≤2,,0.006,93.73,29.87,
,意大利,9-30工作日,IT,0＜W≤2,,0.006,71.07,30.9,
,英国,9-30工作日,GB,0＜W≤2,,0.006,67.98,30.9,
,日本,7-25工作日,JP,0＜W≤2,,0.006,47.38,23.69,
,匈牙利,9-30工作日,HU,0＜W≤2,,0.006,190.55,18.54,
,哈萨克斯坦,7-25工作日,KZ,0＜W≤2,,0.006,54.59,24.72,
,丹麦,9-30工作日,DK,0＜W≤2,,0.006,216.3,18.54,
,墨西哥,9-30工作日,MX,0＜W≤2,,0.006,107.12,24.72,
,土耳其,7-25工作日,TR,0＜W≤2,,0.006,73.13,28.84,
,希腊,9-30工作日,GR,0＜W≤2,,0.006,192.61,17.51,
,爱尔兰,9-30工作日,IE,0＜W≤2,,0.006,91.67,33.99,
,韩国,7-25工作日,KR,0＜W≤2,,0.006,30.9,25.75,
,卢森堡,9-30工作日,LU,0＜W≤2,,0.006,184.37,17.51,
,印度尼西亚,7-25工作日,ID,0＜W≤2,,0.006,40.17,24.72,
,沙特阿拉伯,7-25工作日,SA,0＜W≤2,,0.006,74.16,30.9,
,乌克兰,7-25工作日,UA,0＜W≤2,,0.006,176.13,18.54,
,越南,7-25工作日,VN,0＜W≤2,,0.006,103,17.51,
,阿尔巴尼亚,7-25工作日,AL,0＜W≤2,,0.006,172.01,17.51,不可达
,阿尔及利亚,7-25工作日,DZ,0＜W≤2,,0.006,145.23,17.51,
,安哥拉,7-25工作日,AO,0＜W≤2,,0.006,169.95,17.51,
,阿根廷,7-25工作日,AR,0＜W≤2,,0.006,221.45,17.51,
,阿塞拜疆,7-25工作日,AZ,0＜W≤2,,0.006,125.66,17.51,
,巴哈马,7-25工作日,BS,0＜W≤2,,0.006,185.4,17.51,不可达
,巴林,7-25工作日,BH,0＜W≤2,,0.006,123.6,17.51,
,孟加拉国,7-25工作日,BD,0＜W≤2,,0.006,115.36,17.51,
,不丹,7-25工作日,BT,0＜W≤2,,0.006,254.41,17.51,不可达
,博茨瓦纳,7-25工作日,BW,0＜W≤2,,0.006,253.38,17.51,
,文莱,7-25工作日,BN,0＜W≤2,,0.006,116.39,17.51,
,保加利亚,9-30工作日,BG,0＜W≤2,,0.006,147.29,17.51,
,布隆迪,7-25工作日,BI,0＜W≤2,,0.006,169.95,17.51,不可达
,柬埔寨,7-25工作日,KH,0＜W≤2,,0.006,99.91,17.51,
,智利,7-25工作日,CL,0＜W≤2,,0.006,123.6,29.87,
,哥伦比亚,7-25工作日,CO,0＜W≤2,,0.006,184.37,17.51,
,哥斯达黎加,7-25工作日,CR,0＜W≤2,,0.006,197.76,17.51,
,科特迪瓦,7-25工作日,CI,0＜W≤2,,0.006,164.8,17.51,
,塞浦路斯,9-30工作日,CY,0＜W≤2,,0.006,150.38,17.51,
,厄瓜多尔,7-25工作日,EC,0＜W≤2,,0.006,188.49,17.51,
,埃及,7-25工作日,EG,0＜W≤2,,0.006,130.81,17.51,
,萨尔瓦多,7-25工作日,SV,0＜W≤2,,0.006,234.84,17.51,不可达
,埃塞俄比亚,7-25工作日,ET,0＜W≤2,,0.006,163.77,17.51,
,加纳,7-25工作日,GH,0＜W≤2,,0.006,188.49,17.51,
,格林纳达,7-25工作日,GD,0＜W≤2,,0.006,175.1,17.51,不可达
,危地马拉,7-25工作日,GT,0＜W≤2,,0.006,122.57,33.99,不可达
,几内亚,7-25工作日,GN,0＜W≤2,,0.006,161.71,17.51,
,海地,7-25工作日,HT,0＜W≤2,,0.006,122.57,33.99,不可达
,冰岛,9-30工作日,IS,0＜W≤2,,0.006,242.05,17.51,不可达
,印度,7-25工作日,IN,0＜W≤2,,0.006,115.36,17.51,
,伊朗,7-25工作日,IR,0＜W≤2,,0.006,141.11,17.51,
,伊拉克,7-25工作日,IQ,0＜W≤2,,0.006,129.78,17.51,不可达
,肯尼亚,7-25工作日,KE,0＜W≤2,,0.006,157.59,17.51,
,科威特,7-25工作日,KW,0＜W≤2,,0.006,122.57,17.51,
,吉尔吉斯斯坦,7-25工作日,KG,0＜W≤2,,0.006,119.48,17.51,
,老挝,7-25工作日,LA,0＜W≤2,,0.006,103,17.51,
,拉脱维亚,9-30工作日,LV,0＜W≤2,,0.006,181.28,18.54,
,马达加斯加,7-25工作日,MG,0＜W≤2,,0.006,167.89,17.51,
,马尔代夫,7-25工作日,MV,0＜W≤2,,0.006,163.77,17.51,
,马里,7-25工作日,ML,0＜W≤2,,0.006,135.96,17.51,
,马耳他,9-30工作日,MT,0＜W≤2,,0.006,185.4,17.51,
,毛里塔尼亚,7-25工作日,MR,0＜W≤2,,0.006,180.25,17.51,
,摩尔多瓦,7-25工作日,MD,0＜W≤2,,0.006,179.22,17.51,不可达
,蒙古,7-25工作日,MN,0＜W≤2,,0.006,113.3,17.51,
,莫桑比克,7-25工作日,MZ,0＜W≤2,,0.006,169.95,17.51,
,缅甸,7-25工作日,MM,0＜W≤2,,0.006,101.97,17.51,
,尼泊尔,7-25工作日,NP,0＜W≤2,,0.006,129.78,17.51,
,尼日尔,7-25工作日,NE,0＜W≤2,,0.006,159.65,17.51,
,尼日利亚,7-25工作日,NG,0＜W≤2,,0.006,147.29,17.51,
,阿曼,7-25工作日,OM,0＜W≤2,,0.006,144.2,17.51,
,巴基斯坦,7-25工作日,PK,0＜W≤2,,0.006,126.69,17.51,
,巴拿马,7-25工作日,PA,0＜W≤2,,0.006,160.68,17.51,
,秘鲁,7-25工作日,PE,0＜W≤2,,0.006,107.12,26.78,
,菲律宾,7-25工作日,PH,0＜W≤2,,0.006,101.97,17.51,
,卡塔尔,7-25工作日,QA,0＜W≤2,,0.006,161.71,17.51,
,罗马尼亚,9-30工作日,RO,0＜W≤2,,0.006,149.35,17.51,
,圣卢西亚,7-25工作日,LC,0＜W≤2,,0.006,175.1,17.51,
,圣文森特和格林纳丁斯,7-25工作日,VC,0＜W≤2,,0.006,372.86,17.51,不可达
,美属萨摩亚,7-25工作日,AS,0＜W≤2,,0.006,138.02,17.51,不可达
,塞内加尔,7-25工作日,SN,0＜W≤2,,0.006,167.89,17.51,
,塞尔维亚,7-25工作日,RS,0＜W≤2,,0.006,138.02,17.51,不可达
,南非,7-25工作日,ZA,0＜W≤2,,0.006,145.23,17.51,
,斯里兰卡,7-25工作日,LK,0＜W≤2,,0.006,115.36,17.51,
,塔吉克斯坦,7-25工作日,TJ,0＜W≤2,,0.006,121.54,17.51,
,坦桑尼亚,7-25工作日,TZ,0＜W≤2,,0.006,167.89,17.51,
,汤加,7-25工作日,TO,0＜W≤2,,0.006,149.35,17.51,不可达
,突尼斯,7-25工作日,TN,0＜W≤2,,0.006,131.84,17.51,
,土库曼斯坦,7-25工作日,TM,0＜W≤2,,0.006,125.66,17.51,
,特克斯和凯科斯群岛,7-25工作日,TC,0＜W≤2,,0.006,165.83,17.51,不可达
,图瓦卢,7-25工作日,TV,0＜W≤2,,0.006,250.29,35.02,不可达
,乌干达,7-25工作日,UG,0＜W≤2,,0.006,158.62,17.51,
,阿拉伯联合酋长国,7-25工作日,AE,0＜W≤2,,0.006,120.51,17.51,
,乌拉圭,7-25工作日,UY,0＜W≤2,,0.006,261.62,17.51,
,乌兹别克斯坦,7-25工作日,UZ,0＜W≤2,,0.006,120.51,17.51,
,赞比亚,7-25工作日,ZM,0＜W≤2,,0.006,225.57,17.51,
,津巴布韦,7-25工作日,ZW,0＜W≤2,,0.006,255.44,17.51,不可达
,留尼汪,7-25工作日,RE,0＜W≤2,,0.006,229.69,17.51,不可达
,安提瓜和巴布达,7-30工作日,AG,0＜W≤2,,0.006,175.1,17.51,不可达
,安圭拉,7-30工作日,AI,0＜W≤2,,0.006,346.08,17.51,不可达
,波黑,7-30工作日,BA,0＜W≤2,,0.006,180.25,17.51,不可达
,库拉索岛,7-30工作日,CW,0＜W≤2,,0.006,198.79,17.51,
,厄立特里亚,7-30工作日,ER,0＜W≤2,,0.006,149.35,17.51,不可达
,法属圭亚那,7-30工作日,GF,0＜W≤2,,0.006,224.54,17.51,
,冈比亚,7-30工作日,GM,0＜W≤2,,0.006,192.61,17.51,不可达
,几内亚比绍,7-30工作日,GW,0＜W≤2,,0.006,116.39,30.9,不可达
,圭亚那,7-30工作日,GY,0＜W≤2,,0.006,122.57,33.99,
,泽西岛,7-30工作日,JE,0＜W≤2,,0.006,218.36,30.9,
,科摩罗,7-30工作日,KM,0＜W≤2,,0.006,159.65,17.51,不可达
,黑山,7-30工作日,ME,0＜W≤2,,0.006,130.81,17.51,不可达
,马其顿,7-30工作日,MK,0＜W≤2,,0.006,165.83,17.51,不可达
,毛里求斯,7-30工作日,MU,0＜W≤2,,0.006,130.81,17.51,不可达
,马拉维,7-30工作日,MW,0＜W≤2,,0.006,153.47,17.51,不可达
,巴布亚新几内亚,7-30工作日,PG,0＜W≤2,,0.006,250.29,35.02,
,索马里,7-30工作日,SO,0＜W≤2,,0.006,134.93,17.51,不可达
,南苏丹,7-30工作日,SS,0＜W≤2,,0.006,251.32,17.51,
,以色列,7-30工作日,IL,0＜W≤2,,0.006,97.85,29.87,
,阿鲁巴,7-30工作日,AW,0＜W≤2,,0.006,185.4,17.51,不可达
,布基纳法索,7-30工作日,BF,0＜W≤2,,0.006,159.65,17.51,不可达
,贝宁,7-30工作日,BJ,0＜W≤2,,0.006,183.34,17.51,
,刚果（金）,7-30工作日,CD,0＜W≤2,,0.006,195.7,17.51,
,刚果（布）,7-30工作日,CG,0＜W≤2,,0.006,176.13,17.51,
,库克群岛,7-30工作日,CK,0＜W≤2,,0.006,154.5,17.51,
,喀麦隆,7-30工作日,CM,0＜W≤2,,0.006,176.13,17.51,
,古巴,7-30工作日,CU,0＜W≤2,,0.006,152.44,17.51,
,吉布提,7-30工作日,DJ,0＜W≤2,,0.006,186.43,17.51,不可达
,多米尼克,7-30工作日,DM,0＜W≤2,,0.006,329.6,17.51,不可达
,法罗群岛,7-30工作日,FO,0＜W≤2,,0.006,325.48,17.51,
,法国,7-30工作日,FR,0＜W≤2,,0.006,74.16,33.99,
