Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
返回目录,销售产品,国家/地区,最小尺寸,正常可发尺寸,加收150RMB可发尺寸
,云途全球专线挂号（标快带电）,美国,10*15cm,55*40*35cm,68*43*43cm
,云途全球专线挂号（标快普货）,美国,10*15cm,55*40*35cm,68*43*43cm
,云途全球专线挂号（特惠带电）,澳大利亚,10*15cm,59*49*39cm,"L+H+W≤147cm,最长边≤105cm"
,,南非,10*10cm,L+H+W≤120cm，最长边≤90cm,/
,,巴西,10*15cm,L+H+W≤200cm，单边不超过100cm,/
,,挪威,10*20cm,①最长边≤45cm；②长+宽+高≤90cm,/
,,新加坡,10*15cm,60*40*35cm,119*49*39cm
,,马来西亚,10*15cm,L+W+H<200cm，单边不超过100cm,/
,,泰国,10*15cm,60*40*35cm,119*49*39cm
,,越南,10*15cm,"L+W+H<300cm, 单边不超过100cm",/
,,菲律宾,10*15cm,"L+W+H<300cm, 单边不超过100cm",/
,,智利/其他地区,10*15cm,L+H+W≤200cm，单边不超过100cm,/
,,智利/Ollague,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/Camarones,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/General Lagos,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/Lago Verde,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/Niquen,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/Monte Patria,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/Rio Hurtado,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/Laguna Blanca,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/Rio Verde,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/Timaukel,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/Camina,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/Colchane,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/BALMACEDA,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/BUCHUPUREO,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/CAMPANARIO,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/CANITAS,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/CONFLUENCIA,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/EL GUADAL,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/ESTACION DE VILLA ALEGRE,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/FARELLONES,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/GENERAL CRUZ,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/ISLA SANTA MARIA,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/LA PARVA,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/LAGUNA VERDE,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/LIUCURA,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/LLICO,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/LO MIRANDA,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/MAITENCILLO,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/MANQUEHUA,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/MELIMOYU,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/PARGUA,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/PORTILLO,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/PUERTO CHACABUCO,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/PUERTO RIO TRANQUILO,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/PUYUHUAPI,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/QUEHUI,10*15cm,L+H+W≤160cm，单边不超过60cm,/
,,智利/QUENAC,10*15cm,L+H+W≤160cm，单边不超过60cm,/
