Unnamed: 0,沙特阿拉伯偏远地址库,Unnamed: 2,Unnamed: 3
返回目录,城市名,Tiers,备注
,Tamniah,Tier3,偏远区域
,Al Habala,Tier3,偏远区域
,Al Soudah,Tier3,偏远区域
,Al Jifah,Tier3,偏远区域
,Namerah,Tier3,偏远区域
,Mojour,Tier3,偏远区域
,Mijannah,Tier3,偏远区域
,Alnajameiah,Tier3,偏远区域
,Al Turshiah,Tier3,偏远区域
,Bir ibn Harmas,Tier3,偏远区域
,Al Khaniq,Tier3,偏远区域
,Hubuna,Tier3,偏远区域
,Al Husayniyah,Tier3,偏远区域
,Al Mishaliah,Tier3,偏远区域
,Khbash,Tier3,偏远区域
,Mu fija,Tier3,偏远区域
,Zawral Harith,Tier3,偏远区域
,Bir Askar,Tier3,偏远区域
,Bishah,Tier3,偏远区域
,Wadi Bishah,Tier3,偏远区域
,Abu Muloh,Tier3,偏远区域
,Al Uferiah,Tier3,偏远区域
,Jarab,Tier3,偏远区域
,Gaabah,Tier3,偏远区域
,Al Ama ir,Tier3,偏远区域
,Al Qaa,Tier3,偏远区域
,Samakh,Tier3,偏远区域
,Al Gafrat,Tier3,偏远区域
,Al Baheem,Tier3,偏远区域
,Mehr Bisha Center,Tier3,偏远区域
,Baynah,Tier3,偏远区域
,Arman,Tier3,偏远区域
,Al Qeddeh,Tier3,偏远区域
,Waaer,Tier3,偏远区域
,Al Hifah,Tier3,偏远区域
,Alkhazzan,Tier3,偏远区域
,Dahu,Tier3,偏远区域
,Ruqayqah,Tier3,偏远区域
,Al Rafaie,Tier3,偏远区域
,Al Sheqiqah,Tier3,偏远区域
,Tabalah,Tier3,偏远区域
,Al Theniah,Tier3,偏远区域
,Al Shatt,Tier3,偏远区域
,Al Hazmi,Tier3,偏远区域
,Al Uwayqilah,Tier3,偏远区域
,Dhalm,Tier3,偏远区域
,Artawiah,Tier3,偏远区域
,An Nabk Abu Qasr,Tier3,偏远区域
,Jamajm,Tier3,偏远区域
,Al Khuraytah,Tier3,偏远区域
,Qiyal,Tier3,偏远区域
,Jibal Khuraibah,Tier3,偏远区域
,Ash Sharaf,Tier3,偏远区域
,Meegowa,Tier3,偏远区域
,Ithrah,Tier3,偏远区域
,Minwa,Tier3,偏远区域
,Al-Nasfah,Tier3,偏远区域
,Al-Radefah,Tier3,偏远区域
,Al Lsawiyah,Tier3,偏远区域
,Sude'a,Tier3,偏远区域
,Feyadh Tabrjal,Tier3,偏远区域
,Abu Ajram,Tier3,偏远区域
,Rawdat Sudair,Tier3,偏远区域
,Tharamda,Tier3,偏远区域
,Ammaria,Tier3,偏远区域
,Jubaila,Tier3,偏远区域
,Al Nabah,Tier3,偏远区域
,Husayniyah,Tier3,偏远区域
,Ar rayis,Tier3,偏远区域
,Asuwayq,Tier3,偏远区域
,Amaaer Ben Sana'a,Tier3,偏远区域
,Al Hayathem,Tier3,偏远区域
,Naajan,Tier3,偏远区域
,Hazem Aljalamid,Tier3,偏远区域
,Utayiq,Tier3,偏远区域
,Al Husayy,Tier3,偏远区域
,Nita,Tier3,偏远区域
,Airj,Tier3,偏远区域
,Shifiyah,Tier3,偏远区域
,Hanidh,Tier3,偏远区域
,Mighati,Tier3,偏远区域
,Al Qulayyib,Tier3,偏远区域
,Al Wannan,Tier3,偏远区域
,Az Zughayn,Tier3,偏远区域
,Ghanwa,Tier3,偏远区域
,As Sihaf,Tier3,偏远区域
,Thaj,Tier3,偏远区域
,Al Hinnah,Tier3,偏远区域
,Asfan,Tier3,偏远区域
,Shedgum Gas Plant,Tier3,偏远区域
,Al-Matan,Tier3,偏远区域
,Al-Badie Al-Shamali,Tier3,偏远区域
,Afifh,Tier3,偏远区域
,Al Juranah,Tier3,偏远区域
,Shiqri,Tier3,偏远区域
,Al Muwaileh,Tier3,偏远区域
,Sharma,Tier3,偏远区域
,Bir Ibn Hirmas,Tier3,偏远区域
,Magna,Tier3,偏远区域
,Alsharaf,Tier3,偏远区域
,Al Qalibah,Tier3,偏远区域
,Bada,Tier3,偏远区域
,Tayma,Tier3,偏远区域
,Umm Aldoom,Tier3,偏远区域
,Shoqsan,Tier3,偏远区域
,Qia,Tier3,偏远区域
,New Muwayh,Tier3,偏远区域
,Ateef,Tier3,偏远区域
,Ashayrah,Tier3,偏远区域
,Ash Shafa,Tier3,偏远区域
,As Sudayrah,Tier3,偏远区域
,As Sayl as Saghir,Tier3,偏远区域
,As Sail Al Kabeer,Tier3,偏远区域
,Arafa,Tier3,偏远区域
,Al Sir,Tier3,偏远区域
,Alhuwaya,Tier3,偏远区域
,Tubarjal,Tier3,偏远区域
,Radifah,Tier3,偏远区域
,Hadban,Tier3,偏远区域
,An Nazayim,Tier3,偏远区域
,Al-Nasifa,Tier3,偏远区域
,Tumair,Tier3,偏远区域
,Salbukh,Tier3,偏远区域
,Al Qirawan,Tier3,偏远区域
,Malham,Tier3,偏远区域
,Banban,Tier3,偏远区域
,Almuzayri,Tier3,偏远区域
,Al Qurainah,Tier3,偏远区域
,Al Jubaylah,Tier3,偏远区域
,Al Bir,Tier3,偏远区域
,Al Amaaria,Tier3,偏远区域
,Al Aarid,Tier3,偏远区域
,Umm Al Jamajm,Tier3,偏远区域
,Al Artawiyah,Tier3,偏远区域
,Al Majma'ah,Tier3,偏远区域
,Mogayra,Tier3,偏远区域
,Kalakh Dam,Tier3,偏远区域
,Isharah,Tier3,偏远区域
,Harad,Tier3,偏远区域
,Al Qaisumah,Tier3,偏远区域
,Al Batha,Tier3,偏远区域
,As Sulayyil,Tier3,偏远区域
,AlMu'tadil,Tier3,偏远区域
,Al Qahma,Tier3,偏远区域
,Biljurashi,Tier3,偏远区域
,Al Atheeb,Tier3,偏远区域
,Al Aflag,Tier3,偏远区域
,Al Subaykhah,Tier3,偏远区域
,Rojal,Tier3,偏远区域
,Wadi Reem,Tier3,偏远区域
,Wadi Al Fora'a,Tier3,偏远区域
,Ushayrah,Tier3,偏远区域
,Mahd Al Thahab,Tier3,偏远区域
,Al Yutamah,Tier3,偏远区域
,Al Torkiyah,Tier3,偏远区域
,Al Thamad,Tier3,偏远区域
,Al Shlayil,Tier3,偏远区域
,Al Shegrah,Tier3,偏远区域
,Al Rehab,Tier3,偏远区域
,Al Rathaya,Tier3,偏远区域
,Al Mulaylih,Tier3,偏远区域
,Al Mindassah,Tier3,偏远区域
,Al Lahien,Tier3,偏远区域
,Al Jerisiyah,Tier3,偏远区域
,Al Heno,Tier3,偏远区域
,Al Harara,Tier3,偏远区域
,Al Dheelah,Tier3,偏远区域
,Al Akhal,Tier3,偏远区域
,Ad Dumayriyah,Tier3,偏远区域
,Abiyar Al Mashi,Tier3,偏远区域
,Tereeb,Tier3,偏远区域
,Rijal Alma,Tier3,偏远区域
,Al Marooj,Tier3,偏远区域
,Shoaiba,Tier3,偏远区域
,Dahaban,Tier3,偏远区域
,Udhailiyah,Tier3,偏远区域
,Al Tarf,Tier3,偏远区域
,Al Ajfar,Tier3,偏远区域
,Sumaira'a,Tier3,偏远区域
,HADCO-Almarai,Tier3,偏远区域
,Al Mudayyih,Tier3,偏远区域
,Al Jihfah,Tier3,偏远区域
