Unnamed: 0,申报价值注意事项,Unnamed: 2,Unnamed: 3,Unnamed: 4
返回目录,价重比拦截,,,
,重量,申报价值,备注,
,3-5KG,40USD,付款证明能证明价格低则正常放行,
,5-7KG,60USD,付款证明能证明价格低则正常放行,
,7KG以上,90USD,付款证明能证明价格低则正常放行,
,,,,
,,,,
,,,,
,标品品名以及建议申报价值,,,
,中文品名,英文品名,申报价值,单位
,手机,phone/smart phone/Communication equipment,35,USD
,平板,flat/computer/tablet/EBook,35,USD
,无人机,Drone/UAV/Quadcopter,35,USD
,稳定器,Stabilizer,45,USD
,三脚架,tripod/Camera tripod,40,USD
,投影仪,projector,40,USD
,车载播放器,Car player/DVD/MP5/car dvd/car DVR,35,USD
,笔记本电脑,laptop,100,USD
,液晶手写板,LCD Tablet,35,USD
,运动相机,Action camera,30,USD
,摄影器材,Photographic equipment,35,USD
,闪光灯,flash/camera flash,40,USD
,智能手机,smart phone,35,USD
,摄影灯,Photography lights,40,USD
,摄像机,Video camera/camera,35,USD
,扫地机,Sweeper,35,USD
,智能手表,smart watch,30,USD
,3D打印机,3D printer,40,USD
,激光雕刻机,Laser engraving machine,40,USD
