Unnamed: 0,省内E特快,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
返回目录,国家/地区,参考时效,分区,重量(KG),进位制(KG),最低计费重(KG),首重,续重,处理费(RMB/票)
运输代码:SNETK,中国澳门,11-23工作日,,0＜W≤31.5,0.05,,61.2,1.02,0
生效日期,中国台湾,11-23工作日,,0＜W≤30,0.05,,16.32,0.714,0
2025-06-09 09:00,中国香港,11-23工作日,,0＜W≤30,0.05,,48.96,1.02,0
,朝鲜,11-23工作日,,0＜W≤30,0.05,,71.4,1.53,0
,韩国,11-23工作日,,0＜W≤30,0.05,,61.2,0.714,0
,日本,11-23工作日,,0＜W≤30,0.05,,66.3,1.224,0
,菲律宾,11-23工作日,,0＜W≤30,0.05,,76.5,2.04,0
,柬埔寨,11-23工作日,,0＜W≤30,0.05,,71.4,1.02,0
,马来西亚,11-23工作日,,0＜W≤30,0.05,,51,2.55,0
,蒙古,11-23工作日,,0＜W≤20,0.05,,112.2,2.55,0
,泰国,11-23工作日,,0＜W≤30,0.05,,61.2,1.02,0
,新加坡,11-23工作日,,0＜W≤30,0.05,,71.4,1.02,0
,印度尼西亚,11-23工作日,,0＜W≤30,0.05,,76.5,2.04,0
,越南,11-23工作日,,0＜W≤31.5,0.05,,61.2,1.224,0
,澳大利亚,11-23工作日,,0＜W≤20,0.05,,70.38,3.57,0
,巴布亚新几内亚,11-23工作日,,0＜W≤30,0.05,,132.6,5.1,0
,新西兰,11-23工作日,,0＜W≤30,0.05,,45.9,4.08,0
,爱尔兰,7-15工作日,,0＜W≤30,0.05,,132.6,3.57,0
,奥地利,7-15工作日,,0＜W≤30,0.05,,132.6,3.06,0
,比利时,7-15工作日,,0＜W≤30,0.05,,102,3.06,0
,丹麦,7-15工作日,,0＜W≤30,0.05,,142.8,2.55,0
,德国,7-15工作日,,0＜W≤30,0.05,,91.8,4.08,0
,法国,7-15工作日,,0＜W≤30,0.05,,102,3.06,0
,芬兰,7-15工作日,,0＜W≤30,0.05,,132.6,3.06,0
,加拿大,7-15工作日,,0＜W≤30,0.05,,107.1,3.57,0
,卢森堡,7-15工作日,,0＜W≤30,0.05,,122.4,2.55,0
,马耳他,7-15工作日,,0＜W≤30,0.05,,122.4,3.57,0
,挪威,7-15工作日,,0＜W≤30,0.05,,163.2,3.06,0
,葡萄牙,7-15工作日,,0＜W≤30,0.05,,102,2.55,0
,瑞典,7-15工作日,,0＜W≤20,0.05,,163.2,3.06,0
,瑞士,7-15工作日,,0＜W≤30,0.05,,163.2,2.55,0
,西班牙,7-15工作日,,0＜W≤30,0.05,,91.8,3.57,0
,希腊,7-15工作日,,0＜W≤30,0.05,,132.6,2.55,0
,意大利,7-15工作日,,0＜W≤30,0.05,,132.6,2.55,0
,英国,7-15工作日,,0＜W≤30,0.05,,71.4,4.08,0
,南非,11-23工作日,,0＜W≤30,0.05,,107.1,4.59,0
,荷兰,7-15工作日,,0＜W≤30,0.05,,96.9,3.06,0
,立陶宛,7-15工作日,,0＜W≤30,0.05,,91.8,3.06,0
,巴基斯坦,11-23工作日,,0＜W≤30,0.05,,61.2,4.59,0
,老挝,11-23工作日,,0＜W≤30,0.05,,76.5,1.53,0
,孟加拉国,11-23工作日,,0＜W≤30,0.05,,89.76,2.55,0
,尼泊尔,11-23工作日,,0＜W≤30,0.05,,71.4,2.04,0
,斯里兰卡,11-23工作日,,0＜W≤30,0.05,,76.5,2.04,0
,土耳其,11-23工作日,,0＜W≤30,0.05,,117.3,3.06,0
,印度,11-23工作日,,0＜W≤35,0.05,,81.6,3.06,0
,阿根廷,11-23工作日,,0＜W≤30,0.05,,107.1,7.14,0
,阿拉伯联合酋长国,11-23工作日,,0＜W≤30,0.05,,122.4,2.04,0
,巴拿马,11-23工作日,,0＜W≤30,0.05,,132.6,4.08,0
,巴西,11-23工作日,,0＜W≤30,0.05,,117.3,5.1,0
,白俄罗斯,11-23工作日,,0＜W≤30,0.05,,122.4,3.06,0
,波兰,7-15工作日,,0＜W≤20,0.05,,122.4,3.57,0
,哥伦比亚,11-23工作日,,0＜W≤50,0.05,,102,4.08,0
,古巴,11-23工作日,,0＜W≤10,0.05,,122.4,5.1,0
