Unnamed: 0,知识产权网,Unnamed: 2
返回目录,国家,查询网址
,中国：,http://202.127.48.145:8888/zscq/search/jsp/vBrandSearchIndex.jsp
,世界知识产权品牌查询网,http://www.wipo.int/branddb/en/#
,美国：,http://www.uspto.gov/trademarks/index.jsp
,澳洲：,http://www.ipaustralia.gov.au/
,英国：,http://www.ipo.gov.uk/types/tm/t-os/t-find/tmtext.htm
,德国：,http://oami.europa.eu/eSearch
,德国知识产权网,https://register.dpma.de/DPMAregister/marke/einsteiger
,香港特别行政区知识产权署:,http://ipsearch.ipd.gov.hk/index.html
,欧盟商标查询：,http://euipo.europa.eu/eSearch/
,世界专利查询：,https://app.patentcloud.com/index.html
,中国专利查询：,https://www.patexplorer.com
,中国商标查询：,http://www.tmkoo.com/index.html
