Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,                    签名服务,,,,,,,生效时间：2025年5月8日,
,,,,,,,,,
,一、服务定义,,,,,,,,
,签名服务指货物送达目的地时，收件人或其指定代理人在承运人的交付凭证上签字确认收到货物，所获得的签名作为快件已交付的证明。,,,,,,,,
,二、服务区域,,,,,,,,
,产品代码,产品名称,美国,英国,法国,西班牙,比利时,荷兰,德国
,BKDDTK,云途全球专线挂号（特快带电）,,√,,,,,
,BKPHTK,云途全球专线挂号（特快普货）,,√,,,,,
,BKZXR,云途全球专线挂号（标快带电）,,,√,,,√,
,BKPHR,云途全球专线挂号（标快普货）,,,√,,,√,
,TDZXR,云途全球精选专线挂号（特惠带电）,,√,√,,√,√,
,TDPHR,云途全球精选专线挂号（特惠普货）,,√,√,,√,√,
,THPHR,云途全球专线挂号（特惠普货）,,,,√,,,
,三 、收费规则,,,,,,,,
,国家,签名服务费（RMB/票）,,,,,,,
,美国,30元,,,,,,,
,英国,6.5元,,,,,,,
,比利时,5.5元,,,,,,,
,法国,5元,,,,,,,
,德国,4元,,,,,,,
,荷兰,4元,,,,,,,
,西班牙,4元,,,,,,,
,四、服务优势,,,,,,,,
,1.下单便捷：下单一键勾选，系统自动计算费用，操作简单又省心,,,,,,,,
,2.性价比高：低至4元起，超高性价比,,,,,,,,
,3.减少纠纷：明确货物签收人，责任清晰，纠纷无忧,,,,,,,,
,4.查询便捷：yuntrack、用户中心可查询签收证明,,,,,,,,
,五、温馨提示,,,,,,,,
,1.签入后，若重量或材积变更，可能无法提供签名服务（以签入信息为准收费），客服将通知或客户在用户中心查看取消通知。,,,,,,,,
,2.若签名服务生效后，因异常情况未提供签收证明（转自提除外），我司将补偿等额优惠券。,,,,,,,,
,3.包裹妥投后，签收证明可通过用户中心或yuntrack查询。,,,,,,,,
