返回目录,Unnamed: 1,云途大货18000专线挂号（特惠带电）,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,云途全球专线挂号（标快普货）,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,云途中包专线挂号（特惠普货）,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,云途大货18000专线挂号（特惠普货）,,,,,,,云途全球专线挂号（特快普货）,,,,,云途中包专线挂号（特惠带电）,,,,
,,国家,起始邮编,截止邮编,备注,派送附加费RMB/票,,,国家/地区,起始邮编,截止邮编,派送附加费RMB/票,,国家,起始邮编,截止邮编,备注,派送附加费RMB/件
,,美国,01002,01002,偏远区域,40,,,美国,00000,00499,30,,美国,01002,01002,偏远区域,40
,,美国,01007,01007,偏远区域,40,,,美国,00600,00999,30,,美国,01007,01007,偏远区域,40
,,美国,01010,01010,偏远区域,40,,,美国,09001,09006,30,,美国,01010,01010,偏远区域,40
,,美国,01029,01029,偏远区域,40,,,美国,09007,09009,30,,美国,01029,01029,偏远区域,40
,,美国,01032,01033,偏远区域,40,,,美国,09010,09014,30,,美国,01032,01033,偏远区域,40
,,美国,01036,01036,偏远区域,40,,,美国,09015,09018,30,,美国,01036,01036,偏远区域,40
,,美国,01038,01039,偏远区域,40,,,美国,09019,09021,30,,美国,01038,01039,偏远区域,40
,,美国,01056,01057,偏远区域,40,,,美国,09027,09028,30,,美国,01056,01057,偏远区域,40
,,美国,01069,01069,偏远区域,40,,,美国,09033,09034,30,,美国,01069,01069,偏远区域,40
,,美国,01073,01073,偏远区域,40,,,美国,09043,09044,30,,美国,01073,01073,偏远区域,40
,,美国,01079,01080,偏远区域,40,,,美国,09045,09046,30,,美国,01079,01080,偏远区域,40
,,美国,01082,01083,偏远区域,40,,,美国,09048,09049,30,,美国,01082,01083,偏远区域,40
,,美国,01088,01088,偏远区域,40,,,美国,09052,09054,30,,美国,01088,01088,偏远区域,40
,,美国,01093,01094,偏远区域,40,,,美国,09059,09060,30,,美国,01093,01094,偏远区域,40
,,美国,01097,01097,偏远区域,40,,,美国,09066,09069,30,,美国,01097,01097,偏远区域,40
,,美国,01220,01220,偏远区域,40,,,美国,09078,09079,30,,美国,01220,01220,偏远区域,40
,,美国,01224,01227,偏远区域,40,,,美国,09089,09090,30,,美国,01224,01227,偏远区域,40
,,美国,01236,01236,偏远区域,40,,,美国,09093,09096,30,,美国,01236,01236,偏远区域,40
,,美国,01240,01240,偏远区域,40,,,美国,09103,09104,30,,美国,01240,01240,偏远区域,40
,,美国,01247,01247,偏远区域,40,,,美国,09106,09107,30,,美国,01247,01247,偏远区域,40
,,美国,01252,01252,偏远区域,40,,,美国,09111,09112,30,,美国,01252,01252,偏远区域,40
,,美国,01257,01257,偏远区域,40,,,美国,09113,09114,30,,美国,01257,01257,偏远区域,40
,,美国,01260,01260,偏远区域,40,,,美国,09122,09123,30,,美国,01260,01260,偏远区域,40
,,美国,01267,01267,偏远区域,40,,,美国,09124,09126,30,,美国,01267,01267,偏远区域,40
,,美国,01331,01331,偏远区域,40,,,美国,09127,09128,30,,美国,01331,01331,偏远区域,40
,,美国,01337,01338,偏远区域,40,,,美国,09130,09131,30,,美国,01337,01338,偏远区域,40
,,美国,01349,01349,偏远区域,40,,,美国,09135,09136,30,,美国,01349,01349,偏远区域,40
,,美国,01351,01351,偏远区域,40,,,美国,09137,09138,30,,美国,01351,01351,偏远区域,40
,,美国,01364,01364,偏远区域,40,,,美国,09139,09140,30,,美国,01364,01364,偏远区域,40
,,美国,01375,01376,偏远区域,40,,,美国,09141,09142,30,,美国,01375,01376,偏远区域,40
,,美国,07722,07722,偏远区域,40,,,美国,09153,09154,30,,美国,07722,07722,偏远区域,40
,,美国,07727,07727,偏远区域,40,,,美国,09159,09160,30,,美国,07727,07727,偏远区域,40
,,美国,07732,07732,偏远区域,40,,,美国,09171,09173,30,,美国,07732,07732,偏远区域,40
,,美国,07738,07738,偏远区域,40,,,美国,09176,09177,30,,美国,07738,07738,偏远区域,40
,,美国,07762,07762,偏远区域,40,,,美国,09179,09180,30,,美国,07762,07762,偏远区域,40
,,美国,07803,07803,偏远区域,40,,,美国,09185,09186,30,,美国,07803,07803,偏远区域,40
,,美国,07821,07823,偏远区域,40,,,美国,09202,09204,30,,美国,07821,07823,偏远区域,40
,,美国,07830,07830,偏远区域,40,,,美国,09210,09211,30,,美国,07830,07830,偏远区域,40
,,美国,07839,07839,偏远区域,40,,,美国,09212,09214,30,,美国,07839,07839,偏远区域,40
,,美国,07846,07849,偏远区域,40,,,美国,09226,09227,30,,美国,07846,07849,偏远区域,40
,,美国,07853,07853,偏远区域,40,,,美国,09249,09250,30,,美国,07853,07853,偏远区域,40
,,美国,07855,07856,偏远区域,40,,,美国,09260,09261,30,,美国,07855,07856,偏远区域,40
,,美国,07860,07860,偏远区域,40,,,美国,09262,09265,30,,美国,07860,07860,偏远区域,40
,,美国,07870,07871,偏远区域,40,,,美国,09300,09302,30,,美国,07870,07871,偏远区域,40
,,美国,07879,07879,偏远区域,40,,,美国,09303,09317,30,,美国,07879,07879,偏远区域,40
