Unnamed: 0,部分HS原关税,Unnamed: 2,Unnamed: 3
返回目录,海关编码,税率,仅供参考，实际以官网为准
,9505906000,0,
,3924104000,3.4%,
,8205596000,0,
,9503000090,0,
,6506996000,8.5%,
,3924905650,3.4%,
,3926909990,5.3%,
,8421990040,0,
,5607902500,0,
,7323930035,2%,
,9113202000,11.2%,
,4202228100,17.6%,
,6306905000,4.5%,
,8525803010,0.5%,
,8471804000,0,
,6602000000,4%,
,9616200000,4.3%,
,9505902000,0,
,3926400090,5.3%,
,6117809540,14.6%,
,7326908688,2.9%,
,8536698000,2.7%,
,4016100000,0,
,6702104000,3.4%,
,4821904000,0,
,4820102020,0,
,7009100000,3.9%,
,6214400000,5.3%,
,3926903500,6.5%,
,8517620050,0,
,4420100000,3.2%,
,8509805095,4.2%,
,3926201020,0,
,6204335010,27.3%,
,8414519090,4.7%,
,7117199000,11%,
,6307909889,7%,
,8205400000,6.2%,
,8204110060,9%,
,8413810030,0,
,9615111000,14.4¢/gross + 2%,
,7607205000,0,
,6404192520,7.5%,
,4202929100,17.6%,
,6402993110,6%,
,7323930060,2%,
,8205513030,3.7%,
,8205595560,5.3%,
,8215993000,14%,
,8210000000,3.7%,
,9019102020,0,
,4823905000,0,
,6303990010,11.3%,
,8536509065,0.6%,
,3924102000,6.5%,
,6209303040,16%,
,4202919090,4.5%,
,6116930800,2.8%,
,9405408440,3.9%,
,3921904090,4.2%,
,8509805040,4.2%,
,3924901050,3.3%,
,9608300039,0.4¢ each + 2.7%,
,4202216000,10%,
,8504409510,0.3%,
,4015191050,3%,
,8529109100,0.7%,
,3923109000,3%,
,8472909080,0,
,9603908050,2.8%,
,9506910030,4.6%,
,8306290000,0,
,5608192090,5%,
,8301500000,3.1%,
,8714998000,10%,
,7307290090,5%,
,3924103000,5.3%,
,8201100000,0,
,6504003000,6%,
,9405408200,0.9%,
,8708998180,2.5%,
,6112490090,13.2%,
,9405408410,3.9%,
,6115959000,13.5%,
,8504314035,6.6%,
,3926100000,5.3%,
,3923290000,3%,
,4016935010,2.5%,
,8467990190,0,
,8536100040,2.7%,
,9615196000,11%,
,7117191500,8%,
,8207907545,3.7%,
,9401790015,0,
,8513102000,12.5%,
,9404902000,6%,
,8544422000,0,
,9111800000,3.6¢ each + 7.6%,
,9102914010,0,
,6116999560,3.8%,
,5607909000,6.3%,
,7318160045,0,
,6304910070,0,
,9030390100,0.4%,
,8536904000,0,
,4201003000,2.4%,
,6403997560,7%,
,4202923131,17.6%,
,9615904000,5.3%,
,9614002810,0.3¢ each + 3.2%,
,7318130030,5.7%,
,8214100000,0.3¢ each + 4.2%,
,9025198080,0,
,4201006000,2.8%,
,6104622011,14.9%,
,6211431060,16%,
,6108320010,16%,
,6108920015,16%,
,9030310000,0.4%,
,8543709960,2.6%,
,4419901000,5.3%,
,9603302000,2.6%,
,3919905060,5.8%,
,6211335054,16%,
,6109100040,16.5%,
,9102114510,0,
,7907006000,3%,
,4823690020,0,
,8309900000,2.6%,
,6304993500,11.3%,
,4202316000,8%,
,9401200000,0,
,6914908000,5.6%,
,7323100000,0,
,9002119000,2.3%,
,6302290020,4.5%,
,8504409540,0.3%,
