Unnamed: 0,韩国偏远地区,Unnamed: 2,Unnamed: 3
返回目录,序号,韩国偏远地区,邮政编码
云途全球专线挂号(特惠带电),1,仁川----中区 岛屿地区,22300-22388
,2,仁川----江华 岛屿地区 ,23000-23062
,3,仁川----熊津 岛屿地区 ,23100-23136
,4,忠南----唐津 岛屿地区   ,31700-31816
,5,忠南----泰安郡 岛屿地区 ,32100-32172
,6,忠南----保宁 岛屿地区 ,33400-33500
,7,庆北----郁陵岛 全地区  ,40200-40240
,8,釜山----江西区 岛屿地区 ,46700-46771
,9,庆南----统营 岛屿地区 ,53000-53104
,10,庆南----泗川 岛屿地区 ,52500-52571
,11,全北----扶安 岛屿地区 ,56300-53104
,12,全南----灵光郡 岛屿地区 ,57000-57069
,13,全南----木浦市 岛屿地区 ,58600-58763
,14,全南----新安郡 岛屿地区 ,58800-58866
,15,全南----珍岛郡  岛屿地区 ,58900-58958
,16,全南----莞到郡  岛屿地区 ,59100-59166
,17,全南----宝城郡  岛屿地区,59400-59475
,18,全南----高洪郡 岛屿地区,59500-59571
,19,全南----丽水郡 岛屿地区,59600-59790
,20,济州----全地区,63000-63644
,21,济州----楸子面 ,695950-695952
,22,济州----牛岛 ,695980-695983
